Date,Team,Pitcher,Open,Close,OpenOU,CloseOU
404,NYY,CSABATHIA-L,-106,-103,9,9
404,BOS,JBECKETT-R,-114,-117,9,9
405,PHI,RHALLADAY-R,-200,-200,7.5,7.5
405,WAS,JLANNAN-L,170,170,7.5,7.5
405,MIA,JJOHNSON-R,-105,-112,7,7
405,NYM,JOSANTANA-L,-115,-108,7,7
405,STL,CARPENTER-R,-155,-143,7.5,7.5
405,CIN,AHARANG-R,135,123,7.5,7.5
405,LOS,VPADILLA-R,-155,-126,8.5,8.5
405,PIT,ZDUKE-L,135,106,8.5,8.5
405,COL,UJIMENEZ-R,105,-105,7.5,7.5
405,MIL,YGALLARDO-R,-125,-105,7.5,7.5
405,CUB,CZAMBRANO-R,110,105,8.5,8.5
405,ATL,DLOWE-R,-130,-125,8.5,8.5
405,SDG,JGARLAND-R,155,166,8,8
405,ARI,DHAREN-R,-175,-186,8,8
405,SFO,TLINCECUM-R,-130,-147,7.5,7
405,HOU,ROSWALT-R,110,127,7.5,7
405,CLE,WESTBROOK-R,150,122,9,9
405,CWS,MBUEHRLE-L,-170,-142,9,9
405,TOR,SMARCUM-R,115,130,9.5,9
405,TEX,SFELDMAN-R,-135,-150,9.5,9
405,DET,VERLANDER-R,-105,102,7,7
405,KAN,ZGREINKE-R,-115,-122,7,7
405,MIN,SBAKER-R,115,108,8.5,8.5
405,LAA,JERWEAVER-R,-135,-128,8.5,8.5
405,SEA,FHERNANDZ-R,-125,-152,7,7
405,OAK,BSHEETS-R,105,132,7,7
406,SFO,BZITO-L,125,104,8,8
406,HOU,WRODRIGEZ-L,-145,-124,8,8
406,COL,GSMITH-L,120,138,8.5,9
406,MIL,RWOLF-L,-140,-158,8.5,9
406,SDG,CYOUNG-R,150,122,9,9.5
406,ARI,EJACKSON-R,-170,-142,9,9.5
406,BAL,KMILLWOOD-R,135,200,8.5,9
406,TAM,JSHIELDS-R,-155,-230,8.5,9
406,NYY,ABURNETT-R,115,114,9.5,9.5
406,BOS,JLESTER-L,-135,-134,9.5,9.5
406,MIN,NBLACKBUR-R,105,119,9,10
406,LAA,JSAUNDERS-L,-125,-139,9,10
406,SEA,ISNELL-R,130,105,8.5,8.5
406,OAK,DBRADEN-L,-150,-125,8.5,8.5
407,COL,ACOOK-R,-105,-114,9,9
407,MIL,DDAVIS-L,-105,-106,9,9
407,SFO,MCAIN-R,-130,-134,7.5,7.5
407,HOU,BMYERS-R,110,114,7.5,7.5
407,LOS,CKERSHAW-L,-132,-170,8,8
407,PIT,ROHLENDOR-R,112,150,8,8
407,PHI,CHAMELS-L,-157,-185,9,9
407,WAS,JMARQUIS-R,137,165,9,9
407,CUB,RDEMPSTER-R,140,123,8.5,8
407,ATL,JJURRJENS-R,-160,-143,8.5,8
407,STL,WAINWRIGHT-R,-125,-144,8,8
407,CIN,JCUETO-R,105,124,8,8
407,MIA,RNOLASCO-R,-110,-132,8.5,8.5
407,NYM,JMAINE-R,-110,112,8.5,8.5
407,SDG,KCORREIA-R,101,111,9.5,9.5
407,ARI,IKENNEDY-R,-121,-131,9.5,9.5
