Date,Team,Pitcher,Open,Close,OpenOU,CloseOU
329,CUB,JLESTER-L,-175,-200,8,8
329,MIA,JURENA-R,155,170,8,8
329,STL,CMARTINEZ-R,105,123,7,6.5
329,NYM,NSYNDERGAARD-R,-125,-138,7,6.5
329,PHI,ANOLA-R,-125,-131,8,8
329,ATL,JTEHERAN-R,105,116,8,8
329,MIL,CANDERSON-R,-115,-131,8,8
329,SDG,CRICHARD-L,-105,116,8,8
329,SFO,TBLACH-L,250,256,7,7.5
329,LAD,CKERSHAW-L,-300,-306,7,7.5
329,COL,JGRAY-R,-115,-101,9,8
329,ARI,PCORBIN-L,-105,-109,9,8
329,MIN,JODORIZZI-R,105,117,9.5,9.5
329,BAL,DBUNDY-R,-125,-127,9.5,9.5
329,HOU,JVERLANDER-R,-168,-160,9,9
329,TEX,CHAMELS-L,148,145,9,9
329,NYY,LSEVERINO-R,-155,-171,8.5,8.5
329,TOR,JHAPP-L,135,151,8.5,8.5
329,BOS,CSALE-L,-175,-173,7,6.5
329,TAM,CARCHER-R,155,153,7,6.5
329,LAA,GRICHARDS-R,-135,-118,8.5,9
329,OAK,KGRAVEMAN-R,115,108,8.5,9
329,CWS,JSHIELDS-R,150,125,9,8.5
329,KAN,DDUFFY-L,-170,-140,9,8.5
329,CLE,CKLUBER-R,-170,-180,7.5,7
329,SEA,FHERNANDEZ-R,150,160,7.5,7
330,CUB,KHENDRICKS-R,-230,-200,8.5,8
330,MIA,CSMITH-L,200,170,8.5,8
330,PHI,NPIVETTA-R,110,-109,9,9
330,ATL,MFOLTYNEWICZ-R,-130,-101,9,9
330,COL,TANDERSON-L,145,128,8.5,8
330,ARI,RRAY-L,-165,-143,8.5,8
330,SFO,JCUETO-R,170,148,7,7.5
330,LAD,AWOOD-L,-190,-163,7,7.5
330,MIL,JCHACIN-R,-123,-113,8,8
330,SDG,JLUCCHESI-L,103,103,8,8
330,NYY,MTANAKA-R,-145,-137,9,8.5
330,TOR,ASANCHEZ-R,125,122,9,8.5
330,BOS,DPRICE-L,-175,-141,7.5,7
330,TAM,BSNELL-L,155,126,7.5,7
330,HOU,DKEUCHEL-L,-200,-170,9.5,9
330,TEX,DFISTER-R,170,150,9.5,9
330,LAA,TSKAGGS-L,-113,-114,9,9
330,OAK,SMANAEA-L,-107,104,9,9
330,WAS,MSCHERZER-R,-200,-215,8.5,9
330,CIN,HBAILEY-R,170,185,8.5,9
330,PIT,INOVA-R,-119,-129,9.5,9
330,DET,JZIMMERMANN-R,-101,119,9.5,9
331,STL,MWACHA-R,135,107,7.5,7
331,NYM,JDEGROM-R,-155,-117,7.5,7
331,WAS,SSTRASBURG-R,-185,-145,8,8
331,CIN,LCASTILLO-R,165,130,8,8
331,PHI,VVELASQUEZ-R,105,105,9,8
331,ATL,BMCCARTHY-R,-125,-115,9,8
331,CUB,YDARVISH-R,-230,-210,8.5,8
331,MIA,ODESPAIGNE-R,200,180,8.5,8
331,COL,GMARQUEZ-R,145,136,8.5,8.5
331,ARI,ZGREINKE-R,-165,-151,8.5,8.5
331,MIL,BSUTER-L,-125,-120,8,7.5
331,SDG,LPERDOMO-R,105,110,8,7.5
331,SFO,DHOLLAND-L,180,175,8.5,8
331,LAD,KMAEDA-R,-210,-205,8.5,8
331,HOU,LMCCULLERSJR.-R,-190,-201,10,9.5
331,TEX,MMOORE-L,170,171,10,9.5
331,LAA,MSHOEMAKER-R,-127,-107,9,9
331,OAK,DMENGDEN-R,107,-103,9,9
331,NYY,CSABATHIA-L,-145,-104,9,9.5
331,TOR,MESTRADA-R,125,-106,9,9.5
331,CLE,CCARRASCO-R,-121,-107,7.5,6.5
331,SEA,JPAXTON-L,101,-103,7.5,6.5
331,BOS,RPORCELLO-R,-155,-111,8.5,8
331,TAM,AKITTREDGE-R,135,101,8.5,8
331,MIN,KGIBSON-R,104,-119,9.5,9
331,BAL,ACASHNER-R,-124,109,9.5,9
331,CWS,LGIOLITO-R,106,-108,9,8.5
331,KAN,IKENNEDY-R,-126,-102,9,8.5
401,CUB,JQUINTANA-L,-205,-208,8,8
401,MIA,DPETERS-L,175,178,8,8
401,STL,LWEAVER-R,-111,-152,8,8
401,NYM,SMATZ-L,-109,137,8,8
401,WAS,GGONZALEZ-L,-165,-131,9,8.5
401,CIN,SROMANO-R,145,116,9,8.5
401,SFO,CSTRATTON-R,165,175,7.5,7.5
401,LAD,RHILL-L,-185,-195,7.5,7.5
401,MIN,JBERRIOS-R,-105,103,9,9
401,BAL,KGAUSMAN-R,-115,-113,9,9
401,NYY,SGRAY-R,-119,104,8.5,8.5
