Date,Team,Pitcher,Open,Close,OpenOU,CloseOU
322,LOS,CKERSHAW-L,-170,-170,6.5,6.5
322,ARI,WMILEY-L,150,150,6.5,6.5
322,LOS,HRYU-L,-120,-119,7.5,7.5
322,ARI,TCAHILL-R,100,109,7.5,7.5
330,LOS,HRYU-L,-105,-115,6.5,6.5
330,SDG,ACASHNER-R,-105,105,6.5,6.5
331,CUB,SAMARDZIJA-R,145,170,7,6.5
331,PIT,FLIRIANO-L,-165,-190,7,6.5
331,WAS,STRASBURG-R,-165,-179,6.5,6.5
331,NYM,DGEE-R,145,159,6.5,6.5
331,ATL,JTEHERAN-R,-115,-113,7.5,8
331,MIL,YGALLARDO-R,-105,103,7.5,8
331,STL,WAINWRIGHT-R,-115,-120,7,7
331,CIN,JCUETO-R,-105,110,7,7
331,COL,DELAROSA-L,135,130,6.5,6.5
331,MIA,JFERNANDZ-R,-155,-145,6.5,6.5
331,SFO,BUMGARNER-L,-140,-118,8,8
331,ARI,BMCCARTHY-R,120,108,8,8
331,KAN,JSHIELDS-R,140,133,7,7
331,DET,JVERLANDE-R,-160,-148,7,7
331,BOS,JLESTER-L,-115,-115,8.5,9
331,BAL,CTILLMAN-R,-105,105,8.5,9
331,TOR,RDICKEY-R,145,149,7,7
331,TAM,DPRICE-L,-165,-164,7,7
331,MIN,RNOLASCO-R,145,155,7,7
331,CWS,CSALE-L,-165,-175,7,7
331,CLE,JMASTERSO-R,115,130,7,7
331,OAK,SGRAY-R,-135,-145,7,7
331,SEA,FHERNANDZ-R,115,104,6.5,7
331,LAA,JWEAVER-R,-135,-114,6.5,7
331,PHI,CLEE-L,-115,-105,8,7.5
331,TEX,TSCHEPPER-R,-105,-105,8,7.5
401,LOS,ZGREINKE-R,-155,-150,6.5,6.5
401,SDG,IKENNEDY-R,135,135,6.5,6.5
401,COL,BANDERSON-L,100,-122,7.5,7
401,MIA,NEOVALDI-R,-120,112,7.5,7
401,ATL,AWOOD-L,105,104,8,8.5
401,MIL,KLOHSE-R,-125,-114,8,8.5
401,SFO,MCAIN-R,-115,107,8.5,8.5
