Date,Team,Pitcher,Open,Close,OpenOU,CloseOU
403,STL,WAINWRIGHT-R,-115,109,6.5,6.5
403,PIT,FLIRIANO-L,-105,-119,6.5,6.5
403,TOR,MSTROMAN-R,-115,111,7,7
403,TAM,CARCHER-R,-105,-121,7,7
403,NYM,MHARVEY-R,-119,-120,7,8
403,KAN,EVOLQUEZ-R,-101,110,7,8
404,SFO,BUMGARNER-L,-185,-175,7,8
404,MIL,WPERALTA-R,165,155,7,8
404,WAS,MSCHERZER-R,-200,-180,6.5,7
404,ATL,JTEHERAN-R,170,160,6.5,7
404,PHI,HELLICKSON-R,120,155,8.5,7.5
404,CIN,RIGLESIAS-R,-140,-175,8.5,7.5
404,LOS,CKERSHAW-L,-175,-200,5.5,6
404,SDG,TROSS-R,155,170,5.5,6
404,COL,DELAROSA-L,200,155,7,8
404,ARI,ZGREINKE-R,-230,-175,7,8
404,MIN,ESANTANA-R,-101,109,8,9
404,BAL,CTILLMAN-R,-119,-119,8,9
404,SEA,FHERNANDZ-R,105,116,7.5,8
404,TEX,CHAMELS-L,-125,-126,7.5,8
404,TOR,RDICKEY-R,-109,107,7.5,8.5
404,TAM,DSMYLY-L,-111,-117,7.5,8.5
404,CWS,CSALE-L,105,-145,6,7
404,OAK,RHILL-L,-125,130,6,7
404,CUB,JARRIETA-R,-145,-145,6.5,7
404,LAA,GRICHARDS-R,125,130,6.5,7
405,STL,MWACHA-R,-115,102,7.5,7
405,PIT,JNIESE-L,-105,-112,7.5,7
405,SFO,JCUETO-R,-140,-158,8,8
405,MIL,JNELSON-R,120,143,8,8
405,COL,CBETTIS-R,145,115,8.5,9
405,ARI,SMILLER-R,-165,-130,8.5,9
405,LOS,SKAZMIR-L,-140,-115,6.5,7.5
405,SDG,JSHIELDS-R,120,105,6.5,7.5
405,TOR,ASANCHEZ-R,105,-107,8,8.5
405,TAM,JODORIZZI-R,-125,-103,8,8.5
405,SEA,HIWAKUMA-R,100,-103,8.5,9
405,TEX,MPEREZ-L,-120,-107,8.5,9
405,CWS,JQUINTANA-L,-115,-113,7.5,7.5
405,OAK,CBASSITT-R,-105,103,7.5,7.5
405,NYM,SYNDERGARD-R,-125,-127,7.5,8.5
405,KAN,CYOUNG-R,105,117,7.5,8.5
405,DET,VERLANDER-R,-115,-107,7.5,7.5
405,MIA,WCHEN-L,-105,-103,7.5,7.5
405,CUB,JLESTER-L,-130,-125,7.5,7.5
405,LAA,AHEANEY-L,110,115,7.5,7.5
405,HOU,DKEUCHEL-L,-130,-123,7,6.5
405,NYY,MTANAKA-R,110,113,7,6.5
405,BOS,DPRICE-L,-114,113,6.5,6
405,CLE,CKLUBER-R,-106,-123,6.5,6
406,SFO,JSAMARDZI-R,-132,-141,8.5,9
406,MIL,JUNGMANN-R,112,126,8.5,9
406,COL,TCHATWOOD-R,162,125,8.5,8.5
406,ARI,PCORBIN-L,-182,-140,8.5,8.5
406,STL,MLEAKE-R,-105,102,7.5,7.5
406,PIT,JNICASIO-R,-105,-112,7.5,7.5
406,WAS,SSTRASBUR-R,-191,-190,7.5,7
406,ATL,BNORRIS-R,171,170,7.5,7
406,PHI,ANOLA-R,110,117,8,8
406,CIN,BFINNEGAN-L,-130,-132,8,8
406,LOS,KMAEDA-R,-125,-145,7,7
406,SDG,ACASHNER-R,105,130,7,7
406,TOR,JHAPP-L,-104,-123,8,8.5
406,TAM,MMOORE-L,-116,113,8,8.5
406,SEA,WMILEY-L,105,-130,9,9.5
406,TEX,CLEWIS-R,-125,115,9,9.5
406,BOS,CBUCHHOLZ-R,103,126,7,7.5
