Date,Team,Pitcher,Open,Close,OpenOU,CloseOU
401,PIT,CKUHL,183,190,7,6.5
401,CUB,KHENDRICK,-205,-210,7,6.5
401,ATL,MFRIED-L,-105,117,7.5,7.5
401,PHI,ANOLA,-105,-127,7.5,7.5
401,ARI,MBUMGARNE-L,188,205,8,8.5
401,SDG,YDARVISH,-210,-230,8,8.5
401,LAD,CKERSHAW-L,-210,-215,11.5,10.5
401,COL,GMARQUEZ,188,195,11.5,10.5
401,STL,JFLAHERTY,105,112,7.5,7
401,CIN,LCASTILLO,-115,-122,7.5,7
401,TOR,HRYU-L,149,170,8,8
401,NYY,GCOLE,-165,-185,8,8
401,CLE,SBIEBER,-190,-180,7.5,7.5
401,DET,MBOYD-L,170,165,7.5,7.5
401,TEX,KGIBSON,149,140,9.5,8.5
401,KAN,BKELLER,-165,-150,9.5,8.5
401,CWS,LGIOLITO,-115,-118,8.5,8
401,LAA,DBUNDY,105,108,8.5,8
401,HOU,ZGREINKE,-105,-102,8.5,8
401,OAK,CBASSITT,-105,-108,8.5,8
401,MIN,KMAEDA,-105,-101,8,7.5
401,MIL,BWOODRUFF,-105,-109,8,7.5
401,TAM,TGLASNOW,-140,-150,8,7
401,MIA,SALCANTAR,126,140,8,7
401,SFO,KGAUSMAN,-105,-118,8.5,8
401,SEA,MGONZALES-L,-105,108,8.5,8
402,LAD,TBAUER,-275,-240,11,12
402,COL,ASENZATEL,243,210,11,12
402,ARI,MKELLY,213,190,8.5,8
402,SDG,BSNELL-L,-240,-210,8.5,8
402,CWS,DKEUCHEL-L,-119,109,8.5,8.5
402,LAA,AHEANEY-L,109,-119,8.5,8.5
402,HOU,CJAVIER,115,114,8.5,8.5
402,OAK,JLUZARDO-L,-135,-124,8.5,8.5
402,TAM,RYARBROUG-L,-140,-101,7.5,7.5
402,MIA,PLOPEZ,120,-109,7.5,7.5
402,SFO,JCUETO,-110,104,8.5,8.5
402,SEA,YKIKUCHI-L,-110,-114,8.5,8.5
402,BAL,JMEANS-L,144,161,9,9
402,BOS,NEOVALDI,-165,-172,9,9
403,PIT,TANDERSON-L,144,149,11,11
403,CUB,JARRIETA,-165,-159,11,11
403,ATL,CMORTON,100,-112,8.5,7.5
403,PHI,ZWHEELER,-120,102,8.5,7.5
403,STL,AWAINWRIG,-110,108,9,9
403,CIN,TMAHLE,-110,-118,9,9
403,LAD,WBUEHLER,-225,-220,11.5,11.5
403,COL,JGRAY,188,200,11.5,11.5
403,ARI,CSMITH-L,176,190,8.5,8.5
403,SDG,JMUSGROVE,-210,-210,8.5,8.5
403,TOR,RSTRIPLIN,163,152,9,9
403,NYY,CKLUBER,-190,-162,9,9
403,CLE,ZPLESAC,-175,-152,8.5,8
403,DET,JTEHERAN,151,142,8.5,8
