Date,Team,Pitcher,Open,Close,OpenOU,CloseOU
331,TEX,MHARRISON-L,-160,-170,8.5,8.5
331,HOU,BNORRIS-R,140,150,8.5,8.5
401,MIA,RNOLASCO-R,207,230,7,7
401,WAS,STRASBURG-R,-247,-270,7,7
401,SDG,EVOLQUEZ-R,118,122,7.5,7.5
401,NYM,JNIESE-L,-138,-142,7.5,7.5
401,CUB,SAMARDZIJA-R,105,106,7.5,7
401,PIT,ABURNETT-R,-125,-126,7.5,7
401,COL,JCHACIN-R,118,130,7.5,8
401,MIL,YGALLARDO-R,-138,-150,7.5,8
401,SFO,MCAIN-R,138,130,6,6
401,LOS,CKERSHAW-L,-158,-150,6,6
401,PHI,CHAMELS-L,-105,-113,7,7
401,ATL,THUDSON-R,-115,-107,7,7
401,STL,WAINWRIGHT-R,-114,-109,8.5,9
401,ARI,IKENNEDY-R,-106,-111,8.5,9
401,BOS,JLESTER-L,111,-110,8,8
401,NYY,CSABATHIA-L,-131,-110,8,8
401,KAN,JSHIELDS-R,111,115,7.5,7
401,CWS,CSALE-L,-131,-135,7.5,7
401,DET,VERLANDER-R,-185,-183,7.5,7
401,MIN,VWORLEY-R,165,163,7.5,7
401,SEA,FHERNANDZ-R,-114,-110,6.5,6.5
401,OAK,BANDERSON-L,-106,-110,6.5,6.5
401,LAA,JWEAVER-R,-111,-109,7.5,7.5
401,CIN,JCUETO-R,-109,-111,7.5,7.5
402,COL,DELAROSA-L,117,133,8,8.5
402,MIL,MESTRADA-R,-137,-153,8,8.5
402,STL,JGARCIA-L,102,-109,9,9
402,ARI,TCAHILL-R,-122,-111,9,9
402,SFO,BUMGARNER-L,-111,-105,6.5,7
402,LOS,HRYU-L,-109,-105,6.5,7
402,BAL,JHAMMEL-R,144,150,7,6.5
402,TAM,DPRICE-L,-164,-170,7,6.5
402,CLE,MASTERSON-R,150,160,8,8.5
402,TOR,RDICKEY-R,-170,-180,8,8.5
402,TEX,YDARVISH-R,-192,-180,8,8
402,HOU,LHARRELL-R,172,160,8,8
402,SEA,HIWAKUMA-R,119,112,7,7
402,OAK,JPARKER-R,-139,-132,7,7
403,MIA,KSLOWEY-R,220,210,7,7
403,WAS,GGONZALEZ-L,-260,-250,7,7
403,CUB,EJACKSON-R,110,118,7,6.5
403,PIT,WRODRIGUZ-L,-130,-138,7,6.5
403,SDG,CRICHARD-L,119,124,7,7
403,NYM,MHARVEY-R,-139,-144,7,7
403,PHI,RHALLADAY-R,-106,120,7.5,7
403,ATL,PMAHOLM-L,-114,-140,7.5,7
403,COL,JNICASIO-R,105,115,8.5,8.5
403,MIL,WPERALTA-R,-125,-135,8.5,8.5
403,STL,LLYNN-R,-107,-113,9,9
403,ARI,BMCCARTHY-R,-113,-107,9,9
403,SFO,TLINCECUM-R,110,108,6.5,7
403,LOS,JBECKETT-R,-130,-128,6.5,7
403,KAN,ESANTANA-R,117,120,7.5,7.5
403,CWS,JPEAVY-R,-137,-140,7.5,7.5
403,TEX,AOGANDO-R,-185,-170,8.5,8.5
403,HOU,PHUMBER-R,165,150,8.5,8.5
403,DET,ASANCHEZ-R,-144,-150,8,8.5
403,MIN,KCORREIA-R,124,130,8,8.5
403,CLE,UJIMENEZ-R,155,150,8.5,9
403,TOR,BMORROW-R,-175,-170,8.5,9
403,BOS,CBUCHHOLZ-R,-107,-102,8,7.5
403,NYY,HKURODA-R,-113,-118,8,7.5
403,BAL,WCHEN-L,118,112,7.5,7
403,TAM,HELLICKSON-R,-138,-132,7.5,7
403,SEA,JSAUNDERS-L,120,130,7,7.5
403,OAK,TMILONE-L,-140,-150,7,7.5
