Date,Team,Pitcher,Open,Close,OpenOU,CloseOU
331,ATL,DLOWE-R,-142,-139,8.5,8.5
331,WAS,LHERNADEZ-R,122,119,8.5,8.5
331,MIL,YGALLARDO-R,-107,-110,8,8
331,CIN,EVOLQUEZ-R,-113,-110,8,8
331,SDG,TSTAUFFER-R,175,158,7,7
331,STL,CARPENTER-R,-205,-178,7,7
331,SFO,TLINCECUM-R,-106,-106,6.5,6.5
331,LOS,CKERSHAW-L,-114,-114,6.5,6.5
331,DET,VERLANDER-R,127,132,8,8
331,NYY,CSABATHIA-L,-147,-152,8,8
331,LAA,JERWEAVER-R,-137,-145,8.5,8.5
331,KAN,LHOCHEVAR-R,117,125,8.5,8.5
401,HOU,BMYERS-R,210,230,7,7
401,PHI,RHALLADAY-R,-250,-270,7,7
401,PIT,KCORREIA-R,152,153,8.5,8.5
401,CUB,RDEMPSTER-R,-172,-173,8.5,8.5
401,ARI,IKENNEDY-R,170,190,8.5,8.5
401,COL,UJIMENEZ-R,-190,-220,8.5,8.5
401,NYM,MPELFREY-R,149,155,7,7
401,MIA,JJOHNSON-R,-169,-175,7,7
401,SFO,JSANCHEZ-L,-105,-103,7,7
401,LOS,BILLNGSLEY-R,-115,-117,7,7
401,CWS,MBUEHRLE-L,-114,-109,8,8
401,CLE,FCARMONA-R,-106,-111,8,8
401,BOS,JLESTER-L,-118,-114,8.5,8.5
401,TEX,CWILSON-L,-102,-106,8.5,8.5
401,MIN,CPAVANO-R,110,-102,8.5,8.5
401,TOR,RROMERO-L,-130,-118,8.5,8.5
401,BAL,JGUTHRIE-R,160,155,8.5,8.5
401,TAM,DPRICE-L,-180,-175,8.5,8.5
401,LAA,DHAREN-R,-142,-135,8.5,8
401,KAN,JFRANCIS-L,122,115,8.5,8
401,SEA,FHERNANDZ-R,-107,-112,6.5,6.5
401,OAK,TCAHILL-R,-113,-108,6.5,6.5
402,ATL,THANSON-R,-154,-133,8,7.5
402,WAS,JLANNAN-L,134,113,8,7.5
402,PIT,PMAHOLM-L,160,157,9,8.5
402,CUB,CZAMBRANO-R,-180,-177,9,8.5
402,SFO,MCAIN-R,-114,-112,7,7
402,LOS,TLILLY-L,-106,-108,7,7
402,SDG,CRICHARD-L,125,103,8,8
402,STL,WESTBROOK-R,-145,-123,8,8
402,HOU,WRODRIGEZ-L,215,200,7,7
402,PHI,CLEE-L,-255,-240,7,7
402,NYM,JNIESE-L,152,118,8,9
402,MIA,RNOLASCO-R,-172,-138,8,9
402,MIL,SMARCUM-R,-101,-109,8.5,8.5
402,CIN,TWOOD-L,-119,-111,8.5,8.5
402,ARI,DHUDSON-R,129,135,8.5,9
402,COL,DELAROSA-L,-149,-155,8.5,9
402,MIN,FLIRIANO-L,-130,-115,8.5,8.5
402,TOR,KDRABEK-R,110,-105,8.5,8.5
402,CWS,EJACKSON-R,-130,-124,8.5,8.5
402,CLE,CCARRASCO-R,110,104,8.5,8.5
402,LAA,ESANTANA-R,-145,-136,8.5,8.5
402,KAN,KDAVIES-R,125,116,8.5,8.5
402,SEA,JVARGAS-L,175,150,7,7
402,OAK,BANDERSON-L,-195,-170,7,7
402,DET,BPENNY-R,125,164,9.5,9.5
402,NYY,ABURNETT-R,-145,-184,9.5,9.5
402,BAL,CTILLMAN-R,128,162,9,9
402,TAM,JSHIELDS-R,-148,-182,9,9
402,BOS,JLACKEY-R,-101,-105,9.5,9.5
402,TEX,CLEWIS-R,-119,-105,9.5,9.5
403,NYM,RDICKEY-R,125,106,8,8.5
403,MIA,JVAZQUEZ-R,-145,-126,8,8.5
403,MIL,RWOLF-L,115,100,8.5,8.5
403,CIN,BARROYO-R,-135,-120,8.5,8.5
